Miasto	Powiat	Województwo	Powierzchnia [ha] (01.01.2020)	Liczba ludności (01.01.2020)	Gęstość zaludnienia [osoby/km²] (01.01.2020)
Mosina	poznański	wielkopolskie	1350	14124	1046
Mrągowo	mrągowski	warmińsko-mazurskie	1481	21556	1456
Mrocza	nakielski	kujawsko-pomorskie	501	4332	865
Mrozy	miński	mazowieckie	773	3588	464
Mszana Dolna	limanowski	małopolskie	2710	7889	291
Mszczonów	żyrardowski	mazowieckie	856	6343	741
Murowana Goślina	poznański	wielkopolskie	862	10433	1210
Muszyna	nowosądecki	małopolskie	2443	4760	195
Mysłowice	Mysłowice[a]	śląskie	6562	74618	1137
Myszków	myszkowski	śląskie	7359	31585	429
Myszyniec	ostrołęcki	mazowieckie	1122	3421	305
Myślenice	myślenicki	małopolskie	3022	18366	608
Myślibórz	myśliborski	zachodniopomorskie	1504	11109	739
Nakło nad Notecią	nakielski	kujawsko-pomorskie	1082	18189	1681
